customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,MonthlyServiceCalls,City,PlanType,Churn
CUST_00000,51,101.46665196281694,8308.213016292299,Two year,Fiber optic,Yes,No,No internet service,No,1,Hyderabad,Premium,0
CUST_00001,14,87.69928898802846,459.8204922958698,Month-to-month,Fiber optic,No internet service,Yes,No,No internet service,6,Chennai,Standard,1
CUST_00002,71,36.72353965012715,3004.838617557986,Month-to-month,DSL,No internet service,No internet service,No internet service,No,1,Delhi,Standard,0
CUST_00003,60,101.73375978852603,3653.7909854850623,Month-to-month,No,No internet service,No internet service,Yes,No internet service,3,Hyderabad,Basic,0
CUST_00004,20,61.746207718260436,7008.889095871043,One year,DSL,No internet service,No,No internet service,Yes,12,Pune,Basic,0
CUST_00005,23,37.27653731705986,6517.101942310319,One year,No,No internet service,No,Yes,No internet service,13,Chennai,Standard,1
CUST_00006,2,46.743329740442235,3198.683373436973,Two year,DSL,No,No internet service,No internet service,No,19,Pune,Premium,0
CUST_00007,21,45.287757085330924,4815.082409111103,Two year,DSL,Yes,Yes,Yes,No internet service,2,Mumbai,Basic,0
CUST_00008,52,70.95911140955293,7105.518177720769,One year,No,No internet service,Yes,No internet service,Yes,8,Hyderabad,Basic,0
CUST_00009,1,41.9057492491433,172.3689406252291,One year,DSL,No,Yes,No,Yes,17,Hyderabad,Basic,0
CUST_00010,29,30.603781714960768,6822.074640166573,Month-to-month,Fiber optic,No,No,Yes,Yes,15,Pune,Basic,0
CUST_00011,37,30.616466762603594,8049.572086951201,One year,Fiber optic,No internet service,Yes,Yes,No internet service,18,Chennai,Standard,0
CUST_00012,1,77.49417210818785,289.9712712287398,One year,No,No internet service,No,No internet service,No,19,Delhi,Standard,0
CUST_00013,63,92.94544746263662,404.6179323971447,One year,DSL,No,No,No,No internet service,8,Bangalore,Standard,1
CUST_00014,59,50.79636690151076,2940.167795210982,One year,Fiber optic,No internet service,No internet service,Yes,No internet service,18,Delhi,Premium,0
CUST_00015,20,21.534372401029742,762.4614398774154,Month-to-month,No,No,No internet service,Yes,No internet service,5,Pune,Basic,0
CUST_00016,32,30.976938467575096,4083.21971305276,Two year,No,No internet service,Yes,No,No,11,Mumbai,Basic,0
CUST_00017,57,111.29884515437982,6198.924030931503,Month-to-month,No,No,Yes,No,Yes,14,Hyderabad,Basic,1
CUST_00018,21,68.3414532781242,4826.439311539878,One year,Fiber optic,No internet service,No,No,Yes,5,Pune,Standard,0
CUST_00019,48,64.26442658074782,1684.1354527549834,One year,Fiber optic,No,No internet service,Yes,Yes,4,Pune,Basic,0
CUST_00020,58,21.881016187629275,5572.109446857494,Two year,Fiber optic,Yes,No internet service,No internet service,No,13,Chennai,Standard,0
CUST_00021,41,92.3209762763237,5826.935692395564,Two year,Fiber optic,No internet service,No,No internet service,No internet service,18,Hyderabad,Standard,0
CUST_00022,59,71.86294425507205,7927.0065961202945,Two year,DSL,No internet service,Yes,Yes,No internet service,17,Bangalore,Premium,0
CUST_00023,14,38.61225548082512,1263.13128355213,Month-to-month,Fiber optic,No,Yes,Yes,No internet service,12,Delhi,Basic,1
CUST_00024,61,29.227523538467835,5890.395350764274,Two year,No,No internet service,No,Yes,No,8,Delhi,Standard,1
CUST_00025,61,57.10556209046385,7748.725670312397,One year,DSL,Yes,No internet service,Yes,No internet service,19,Mumbai,Basic,0
CUST_00026,46,103.39052034789262,4272.267148465619,One year,Fiber optic,Yes,No,No,No,6,Chennai,Standard,0
CUST_00027,61,106.2600450385045,3086.7848845984445,One year,DSL,No,No,Yes,Yes,11,Bangalore,Standard,0
CUST_00028,50,79.49033080035491,1466.2972099838644,Month-to-month,No,No,Yes,Yes,Yes,8,Pune,Standard,0
CUST_00029,54,92.20871557747455,7370.086371206125,Two year,Fiber optic,No internet service,No internet service,Yes,No,1,Bangalore,Standard,0
CUST_00030,63,29.745890315092776,3361.997751397922,Two year,DSL,No,Yes,No,Yes,2,Chennai,Premium,0
CUST_00031,2,77.9888586777212,7862.852883796566,Two year,Fiber optic,Yes,Yes,No,No,4,Mumbai,Basic,1
CUST_00032,50,86.03050175569254,7208.685884745244,Two year,DSL,Yes,No internet service,No,No internet service,17,Pune,Basic,0
CUST_00033,6,38.472709977206804,3212.6592229438143,One year,DSL,No internet service,Yes,Yes,Yes,13,Bangalore,Standard,0
CUST_00034,20,107.77578275684641,4885.941168482199,Month-to-month,No,Yes,No,No,Yes,18,Mumbai,Basic,1
CUST_00035,72,37.88966722714402,248.4901758450418,Two year,No,No,No,Yes,No internet service,4,Chennai,Basic,1
CUST_00036,38,49.974690704337945,2250.6439391190365,One year,Fiber optic,No internet service,No internet service,Yes,No internet service,9,Chennai,Basic,0
CUST_00037,17,81.29679839639277,6042.534301564376,One year,Fiber optic,No internet service,No,No internet service,No,15,Chennai,Premium,1
CUST_00038,3,83.11170664333454,5768.040642668035,Month-to-month,DSL,No internet service,No,No,Yes,19,Bangalore,Standard,1
CUST_00039,59,89.33724358071146,3015.279755833132,Two year,No,No,No,No internet service,No internet service,0,Chennai,Premium,0
CUST_00040,13,29.425194732956978,6876.61332665601,Month-to-month,No,No internet service,No,No internet service,Yes,3,Bangalore,Basic,0
CUST_00041,8,104.64537185271264,2018.3613922147067,Two year,DSL,No internet service,Yes,No,Yes,4,Mumbai,Basic,1
CUST_00042,52,72.35040749289251,3930.4966621975677,Month-to-month,No,Yes,No,No,Yes,10,Hyderabad,Premium,1
CUST_00043,1,66.07482299871697,4026.0048487070603,Two year,No,Yes,No internet service,No internet service,Yes,13,Mumbai,Standard,1
CUST_00044,59,118.07195770037798,2908.807833555485,Two year,DSL,No internet service,Yes,Yes,No,10,Bangalore,Basic,0
CUST_00045,70,93.51858628798402,8115.477869743669,Month-to-month,Fiber optic,No,No,No internet service,No internet service,7,Delhi,Premium,1
CUST_00046,43,30.036614715176235,5927.273972275089,Two year,Fiber optic,No,No,No,Yes,0,Delhi,Premium,0
CUST_00047,7,95.16699505707655,4591.488762246172,Month-to-month,Fiber optic,No,No internet service,Yes,No internet service,6,Pune,Standard,1
